State,Q1_2010_y,Q1_2010_t,Q1_2010_perc,Q2_2010_y,Q2_2010_t,Q2_2010_perc,Q3_2010_y,Q3_2010_t,Q3_2010_perc,Q4_2010_y,Q4_2010_t,Q4_2010_perc,Q1_2011_y,Q1_2011_t,Q1_2011_perc,Q2_2011_y,Q2_2011_t,Q2_2011_perc,Q3_2011_y,Q3_2011_t,Q3_2011_perc,Q4_2011_y,Q4_2011_t,Q4_2011_perc,Q1_2012_y,Q1_2012_t,Q1_2012_perc,Q2_2012_y,Q2_2012_t,Q2_2012_perc,Q3_2012_y,Q3_2012_t,Q3_2012_perc,Q4_2012_y,Q4_2012_t,Q4_2012_perc,Q1_2013_y,Q1_2013_t,Q1_2013_perc,Q2_2013_y,Q2_2013_t,Q2_2013_perc,Q3_2013_y,Q3_2013_t,Q3_2013_perc,Q4_2013_y,Q4_2013_t,Q4_2013_perc,Q1_2014_y,Q1_2014_t,Q1_2014_perc,Q2_2014_y,Q2_2014_t,Q2_2014_perc,Q3_2014_y,Q3_2014_t,Q3_2014_perc,Q4_2014_y,Q4_2014_t,Q4_2014_perc,Q1_2015_y,Q1_2015_t,Q1_2015_perc,Q2_2015_y,Q2_2015_t,Q2_2015_perc,Q3_2015_y,Q3_2015_t,Q3_2015_perc,Q4_2015_y,Q4_2015_t,Q4_2015_perc,Q1_2016_y,Q1_2016_t,Q1_2016_perc,Q2_2016_y,Q2_2016_t,Q2_2016_perc,Q3_2016_y,Q3_2016_t,Q3_2016_perc,Q4_2016_y,Q4_2016_t,Q4_2016_perc
North Carolina,282777,552355,,274243,516454,,285503,542791,,243629,465007,,269438,519150,,266150,500271,,283299,530563,,241754,457528,,229137,447010,,213383,411322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,435572,802662,,469405,845517,,496939,895179,,439854,793291,,418247,747870,,449059,787644,,469349,823283,,404300,703053,,427892,757951,,458915,796676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,68948,174383,,66681,,,67248,217264,,55316,179420,,59153,226007,,60132,235263,,62224,235606,,59226,199693,,56602,248283,,54025,248397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,140481,454712,,146280,455154,,157211,481046,,132302,404902,,148432,456795,,146930,434491,,145473,424316,,146655,433233,,171718,505030,,134050,391957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,34554,106903,,39788,121464,,48134,140180,,26932,101820,,142103,392277,,137031,396621,,152077,423555,,125304,363907,,152077,410875,,135435,396167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,19739,33355,,20836,34859,,23383,38873,,19208,32385,,21997,36992,,44509,74971,,22795,38563,,19779,33785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
